id,question_processed,answer_processed,dataset
-1555042217859291693,what effect does anp have on blood pressure?,decreased blood pressure,naturalquestions
903091,do irreversible inhibitors affect km?,"they increase km by interfering with the binding of the substrate, but they do not affect vmax because the inhibitor does not change the catalysis in es because it cannot bind to es.",gooaq
-6810131397408812602,why was constantinople established as the capital of the eastern roman empire?,strategically located on the trade routes between europe and asia and between the mediterranean and the black sea,naturalquestions
7892976,what happens if i don't pay my car loan on time?,"if you continue to miss payments, and do not reach an agreement with your lender, the car will likely be repossessed. if reported, the late payments and repossession can damage your credit score and make it harder to get credit in the future. ... once a car is repossessed, it is usually sold through an auction.",gooaq
7ts2l2,"why did women’s breasts seem pointy in the 50s and 60s, and not so much today? NSFW","Bra design trends. 

It was an exaggeration of the hourglass figure and intended to highlight femininity. The trend died out with the rise of the women’s lib movement.",eli5
3988443,why did the united states drop atomic bombs on japan quizlet?,"the u.s decided to drop the two bombs on japan because japan refused to surrender, causing the pacific war to drag on. the u.s offered a unconditional surrender known as the 'potsdam declaration' and said if they didn't agree to it, they would face the alternative of ""prompt and utter destruction"" and japan ignored it.",gooaq
57302839b2c2fd140056898b,iran's nuclear program has caused discord within the international community since when?,since 2005,squad2
5d441a,Why do liquids like beet juice stain so effectively? ,"The bonds of the compound that give beet juice (and other things that stain) their deep color are oriented in a way that make them very strong. These compounds (called chromophores) absorb visible light so you see them as colored. 

It is quite difficult to break these bonds using just soap or water. However, something like bleach (an oxidizing or reducing agent) can break or reorient these bonds so that the chromophore loses its ability to absorb light, and becomes invisible to you.",eli5
587387,what causes dwarfism in humans,achondroplasia,msmarco
586838,what causes cramp on top of foot,cold weather causing foot cramps may be because the cold causes the arteries in your feet to constrict when you are out in the cold. a lack of essential vitamins and minerals can also lead to foot cramps. low potassium levels often cause cramps in both the legs and the feet.,msmarco
1185513,why is a warrant important to an argument,a warrant is important to an argument because that holds an argument together and it links the evidence to the claim.,msmarco
34jipj,Why are airplane windows so small? ,"Because the cabin is pressurised - the air pressure inside is kept much higher than the air pressure outside so that you can breathe.

Any holes in the aircraft skin will be put under stress by the pressurisation. Bigger windows means more stress. This would mean that the materials (for both the windows and the aircraft skin) would need to be made thicker to reinforce them. This costs money during manufacture - but it also adds weight, which means you need more fuel (or you can carry fewer passengers/less cargo), so the costs soon start mounting up.",eli5
573443cb879d6814001ca424,why do humans most commonly hunt wildlife?,food,squad2
t274w,why does sweat smell bad. ,"It doesn't, exactly. What smells bad isn't the sweat; it's the bacteria metabolizing the contents of the sweat. Sweat is mostly just salt and water, but does contain other compounds that bacteria feed on, especially the kind of sweat excreted in the underarms and groin.",eli5
2651996652137347696,6. the primary cause of wet winters in southern california is?,extratropical disturbances approaching california from the west or northwest during the winter season,naturalquestions
3999920,why does drinking water make acid reflux worse?,"if this acid mixes with the excess saliva during reflux, you're experiencing water brash. water brash usually causes asour taste, or it may taste like bile. you may also experience heartburn with water brash because the acid irritates the throat.",gooaq
572ac493111d821400f38d47,why did septa rail service get cut?,lack of funding,squad2
3955211,why are cdna libraries useful?,cdna libraries are used to express eukaryotic genes in prokaryotes. ... cdna does not have introns and therefore can be expressed in prokaryotic cells. cdna libraries are most useful in reverse genetics where the additional genomic information is of less use.,gooaq
